file_id,FIA-Edit_SD35|structure_distance,FIA-Edit_SD35|psnr_unedit_part,FIA-Edit_SD35|lpips_unedit_part,FIA-Edit_SD35|mse_unedit_part,FIA-Edit_SD35|ssim_unedit_part,FIA-Edit_SD35|clip_similarity_source_image,FIA-Edit_SD35|clip_similarity_target_image,FIA-Edit_SD35|clip_similarity_target_image_edit_part
000000000000,0.007249371,30.773134231567383,0.015326661057770252,0.0008369246497750282,0.9528254270553589,23.957395553588867,27.234846115112305,26.52255630493164
000000000001,0.007733264,26.57672119140625,0.07090717554092407,0.0021995201241225004,0.8921123743057251,24.546850204467773,23.755382537841797,26.219398498535156
000000000002,0.015164218,28.158708572387695,0.04414025694131851,0.0015280196676030755,0.9380137920379639,17.170608520507812,25.700992584228516,20.753196716308594
000000000003,0.015701696,27.67708396911621,0.03571125864982605,0.001707228017039597,0.9156491160392761,19.4390926361084,28.8638858795166,29.03959083557129
000000000004,0.01906911,27.345529556274414,0.049748241901397705,0.0018426676979288459,0.9332406520843506,25.72722816467285,33.81108856201172,27.964921951293945
000000000005,0.008548116,29.765928268432617,0.031113460659980774,0.0010553757892921567,0.9572120904922485,18.42450714111328,18.77484703063965,15.980347633361816
000000000006,0.003933365,30.059484481811523,0.030574699863791466,0.0009863963350653648,0.9410680532455444,23.761377334594727,32.51557159423828,31.04656982421875
000000000007,0.013947306,24.960708618164062,0.07686655968427658,0.003191015450283885,0.77850341796875,27.34320068359375,26.40825843811035,25.071996688842773
000000000008,0.017660957,21.61280059814453,0.12600240111351013,0.006897946819663048,0.8270998001098633,25.317066192626953,28.51346778869629,10.562175750732422
000000000009,0.014641674,37.945533752441406,0.012523166835308075,0.0001604894205229357,0.9953635931015015,14.882159233093262,25.044452667236328,25.1514949798584
000000000010,0.01846758,23.73314094543457,0.08125069737434387,0.004233366344124079,0.8570348024368286,29.553356170654297,36.35882568359375,21.967315673828125
000000000011,0.006112448,30.41749382019043,0.07328997552394867,0.0009083441109396517,0.949361264705658,21.767314910888672,24.464162826538086,25.431304931640625
000000000012,0.0107205855,28.661191940307617,0.020358502864837646,0.0013610705500468612,0.9481576681137085,16.72173309326172,22.0980167388916,27.527904510498047
000000000013,0.0048442236,27.087522506713867,0.042924366891384125,0.0019554533064365387,0.9172797203063965,13.02470588684082,21.03353500366211,24.02130699157715
000000000014,0.008298978,30.797353744506836,0.04647400230169296,0.0008322704234160483,0.9520359039306641,19.69188690185547,20.60619354248047,23.49664878845215
000000000015,0.008176291,29.617115020751953,0.048240456730127335,0.0010921652428805828,0.9447528719902039,15.546102523803711,23.1660213470459,25.814390182495117
000000000016,0.0061632767,25.609140396118164,0.07203835248947144,0.002748437225818634,0.9047552347183228,16.3371524810791,21.38600730895996,28.363615036010742
000000000017,0.010531963,nan,nan,nan,nan,21.321340560913086,20.386167526245117,20.386167526245117
000000000018,0.03256725,20.18793487548828,0.12233748286962509,0.009576491080224514,0.8026723861694336,25.187808990478516,30.4661922454834,19.605388641357422
000000000019,0.017813165,26.409523010253906,0.049723438918590546,0.0022858495358377695,0.8912950754165649,24.596118927001953,24.990869522094727,22.65604019165039
000000000020,0.01283394,26.9288272857666,0.04236063361167908,0.0020282294135540724,0.9163030385971069,22.381832122802734,28.992414474487305,25.783916473388672
000000000021,0.0143417185,26.381277084350586,0.060626111924648285,0.002300764201208949,0.9243097305297852,31.09041404724121,29.178560256958008,24.813739776611328
000000000022,0.0057813027,21.159757614135742,0.07836330682039261,0.0076563917100429535,0.8275458216667175,23.596153259277344,26.7858943939209,14.004471778869629
