Category,FIA-Edit_SD35|structure_distance,FIA-Edit_SD35|psnr_unedit_part,FIA-Edit_SD35|lpips_unedit_part,FIA-Edit_SD35|mse_unedit_part,FIA-Edit_SD35|ssim_unedit_part,FIA-Edit_SD35|clip_similarity_source_image,FIA-Edit_SD35|clip_similarity_target_image,FIA-Edit_SD35|clip_similarity_target_image_edit_part
Overall,0.010325852487628575,27.32020641573899,0.05501625642202218,0.002865418669037815,0.8920634289225229,24.693091344833373,25.90479348591396,22.815638251985824
Class_0,0.010132325489571428,28.557955481789328,0.05007624351284813,0.002591899685172423,0.9007860446764417,23.63216338157654,25.51043372154236,23.134803880964007
Class_1,0.012427135479999995,26.696107721328737,0.061198521335609254,0.0028022856041388876,0.8845534645020962,22.67850342988968,26.049970626831055,21.66611248254776
Class_2,0.010260957517499992,27.256921192385114,0.05479103229272197,0.0028515567556616655,0.9036839379454559,24.938138341903688,27.23944330215454,24.526452398300172
Class_3,0.0081721483455,25.465606117248534,0.06612485613441095,0.003563244548422517,0.8621460847556591,25.059507775306702,24.19506244659424,17.80292249917984
Class_4,0.010342443335,27.6506011750963,0.056694679971163474,0.002415871216928483,0.9013772192928526,25.028541326522827,25.446815967559814,22.454279947280884
Class_5,0.012638722087499998,27.56417737688337,0.05431702021243317,0.002760210787736079,0.87897070816585,26.378071212768553,26.468961572647096,22.219387698173524
Class_6,0.011121757699000003,26.645860134026943,0.0609660141217785,0.003237104471340083,0.8736535264895513,25.61018662452698,25.548735475540163,20.879717206954957
Class_7,0.009435633867499998,30.173848152160645,0.04424716930370778,0.0017131036053513072,0.9226198449730874,25.289322113990785,26.578089547157287,24.763085079193115
Class_8,0.008716219184999997,26.524469321114676,0.0462600300005371,0.0033553680555217266,0.9051133513450622,24.72532455921173,25.223324847221374,22.814959359169006
Class_9,0.011273900637499999,26.972524642944336,0.05607529357075691,0.0029761369805783033,0.9060859084129333,26.15372860431671,27.294581484794616,27.182246208190918
